Date,TSLA,AAPL,GOOG,META
2018-11-26,23.066667556762695,42.134742736816406,52.430999755859375,136.3800048828125
2018-11-27,22.92799949645996,42.043052673339844,52.22050094604492,135.0
2018-11-28,23.191333770751953,43.65972900390625,54.311500549316406,136.75999450683594
2018-11-29,22.744667053222656,43.32432556152344,54.415000915527344,138.67999267578125
2018-11-30,23.365333557128906,43.09027099609375,54.721500396728516,140.61000061035156
2018-12-03,23.89933204650879,44.59593963623047,55.32149887084961,141.08999633789062
2018-12-04,23.979999542236328,42.63422775268555,52.54100036621094,137.92999267578125
2018-12-06,24.20400047302246,42.158878326416016,53.436500549316406,139.6300048828125
2018-12-07,23.864667892456055,40.65562057495117,51.82899856567383,137.4199981689453
2018-12-10,24.343332290649414,40.92344665527344,51.977500915527344,141.85000610351562
2018-12-11,24.450666427612305,40.68939971923828,52.587501525878906,142.0800018310547
2018-12-12,24.440000534057617,40.80281066894531,53.183998107910156,144.5
2018-12-13,25.119333267211914,41.24919509887695,53.095001220703125,145.00999450683594
2018-12-14,24.380666732788086,39.92931365966797,52.10499954223633,144.05999755859375
2018-12-17,23.22800064086914,39.5577278137207,50.826499938964844,140.19000244140625
2018-12-18,22.468666076660156,40.071685791015625,51.43550109863281,143.66000366210938
2018-12-19,22.197999954223633,38.82178497314453,51.1505012512207,133.24000549316406
2018-12-20,21.025333404541016,37.842132568359375,50.47050094604492,133.39999389648438
2018-12-21,21.31800079345703,36.370235443115234,48.97700119018555,124.94999694824219
2018-12-24,19.69266700744629,35.4291877746582,48.81100082397461,124.05999755859375
2018-12-26,21.73933219909668,37.92416763305664,51.972999572753906,134.17999267578125
2018-12-27,21.075332641601562,37.67805480957031,52.194000244140625,134.52000427246094
2018-12-28,22.257999420166016,37.697349548339844,51.854000091552734,133.1999969482422
2018-12-31,22.18666648864746,38.06171417236328,51.78049850463867,131.08999633789062
2019-01-02,20.674667358398438,38.10514450073242,52.29249954223633,135.67999267578125
2019-01-03,20.02400016784668,34.30957794189453,50.803001403808594,131.74000549316406
2019-01-04,21.179332733154297,35.77423858642578,53.535499572753906,137.9499969482422
2019-01-07,22.33066749572754,35.694610595703125,53.419498443603516,138.0500030517578
2019-01-08,22.356666564941406,36.375064849853516,53.81399917602539,142.52999877929688
2019-01-09,22.568666458129883,36.99277114868164,53.733001708984375,144.22999572753906
2019-01-10,22.99799919128418,37.11101150512695,53.51649856567383,144.1999969482422
2019-01-11,23.150667190551758,36.74665069580078,52.859500885009766,143.8000030517578
2019-01-14,22.293333053588867,36.194087982177734,52.234500885009766,145.38999938964844
2019-01-15,22.961999893188477,36.93486022949219,53.85749816894531,148.9499969482422
2019-01-16,23.06999969482422,37.386085510253906,54.048500061035156,147.5399932861328
2019-01-17,23.15399932861328,37.608070373535156,54.494998931884766,148.3000030517578
2019-01-18,20.150667190551758,37.83971405029297,54.91299819946289,150.0399932861328
2019-01-22,19.92799949645996,36.990360260009766,53.5260009765625,147.57000732421875
2019-01-23,19.172666549682617,37.13996505737305,53.778499603271484,144.3000030517578
2019-01-24,19.43400001525879,36.845584869384766,53.69499969482422,145.8300018310547
2019-01-25,19.80266761779785,38.0665283203125,54.54949951171875,149.00999450683594
2019-01-28,19.7586669921875,37.71424102783203,53.50400161743164,147.47000122070312
2019-01-29,19.83066749572754,37.32334899902344,53.03099822998047,144.19000244140625
2019-01-30,20.584667205810547,39.873817443847656,54.452999114990234,150.4199981689453
2019-01-31,20.468000411987305,40.16096496582031,55.81850051879883,166.69000244140625
2019-02-01,20.81399917602539,40.18027114868164,55.537498474121094,165.7100067138672
2019-02-04,20.859333038330078,41.32158279418945,56.63999938964844,169.25
2019-02-05,21.42333221435547,42.02858352661133,57.29949951171875,171.16000366210938
2019-02-06,21.148000717163086,42.043052673339844,55.76150131225586,170.49000549316406
2019-02-07,20.500667572021484,41.24679183959961,54.93550109863281,166.3800048828125
2019-02-08,20.386667251586914,41.295249938964844,54.75299835205078,167.3300018310547
2019-02-11,20.856000900268555,41.05777359008789,54.7504997253418,165.7899932861328
2019-02-12,20.78733253479004,41.41157150268555,56.06850051879883,165.0399932861328
2019-02-13,20.544666290283203,41.2395133972168,56.007999420166016,164.07000732421875
2019-02-14,20.251333236694336,41.38975524902344,56.083499908447266,163.9499969482422
2019-02-15,20.525333404541016,41.297672271728516,55.682498931884766,162.5
2019-02-19,20.375999450683594,41.421260833740234,55.928001403808594,162.2899932861328
2019-02-20,20.17066764831543,41.687828063964844,55.689998626708984,162.55999755859375
2019-02-21,19.415332794189453,41.452762603759766,54.8484992980957,160.0399932861328
2019-02-22,19.6473331451416,41.915611267089844,55.51850128173828,161.88999938964844
2019-02-25,19.917999267578125,42.22093963623047,55.470001220703125,164.6199951171875
2019-02-26,19.857332229614258,42.245174407958984,55.756500244140625,164.1300048828125
2019-02-27,20.982667922973633,42.37603759765625,55.8025016784668,162.80999755859375
2019-02-28,21.325332641601562,41.959228515625,55.99599838256836,161.4499969482422
2019-03-01,19.652666091918945,42.400264739990234,57.04949951171875,162.27999877929688
2019-03-04,19.02400016784668,42.61351776123047,57.38999938964844,167.3699951171875
2019-03-05,18.43600082397461,42.535972595214844,58.10150146484375,171.25999450683594
2019-03-06,18.416000366210938,42.291221618652344,57.893001556396484,172.50999450683594
2019-03-07,18.439332962036133,41.801719665527344,57.165000915527344,169.1300048828125
2019-03-08,18.94266700744629,41.90107345581055,57.11600112915039,169.60000610351562
2019-03-11,19.39466667175293,43.35261535644531,58.78799819946289,172.07000732421875
