"","TCGA-B6-A0RL-01A-11R-A084-07","TCGA-A2-A0T0-01A-22R-A084-07","TCGA-BH-A18U-01A-21R-A12D-07","TCGA-E2-A15M-11A-22R-A12D-07","TCGA-BH-A0DG-01A-21R-A12P-07","TCGA-E2-A1BC-11A-32R-A12P-07","TCGA-C8-A138-01A-11R-A115-07","TCGA-BH-A0DT-01A-21R-A12D-07","TCGA-A2-A0D4-01A-11R-A00Z-07","TCGA-BH-A0HW-01A-11R-A034-07","TCGA-A2-A0T7-01A-21R-A084-07","TCGA-AR-A1AV-01A-21R-A12P-07","TCGA-BH-A0H9-01A-11R-A056-07","TCGA-BH-A0BL-01A-11R-A115-07","TCGA-AO-A0J2-01A-11R-A034-07","TCGA-A2-A0CT-01A-31R-A056-07","TCGA-BH-A1EV-01A-11R-A137-07","TCGA-BH-A18P-01A-11R-A12D-07","TCGA-BH-A0DD-01A-31R-A12P-07","TCGA-A2-A04N-01A-11R-A115-07","TCGA-B6-A0RE-01A-11R-A056-07","TCGA-B6-A0WY-01A-11R-A109-07","TCGA-AR-A1AT-01A-11R-A12P-07","TCGA-C8-A12L-01A-11R-A115-07","TCGA-A8-A086-01A-11R-A00Z-07","TCGA-A2-A0YK-01A-22R-A109-07","TCGA-A2-A0CL-01A-11R-A115-07","TCGA-BH-A0H5-11A-62R-A115-07","TCGA-A2-A04R-01A-41R-A109-07","TCGA-BH-A0DV-11A-22R-A12P-07","TCGA-BH-A0HP-01A-12R-A084-07","TCGA-A2-A0SU-01A-11R-A084-07","TCGA-B6-A0WS-01A-11R-A115-07","TCGA-BH-A0B5-11A-23R-A12P-07","TCGA-C8-A12Q-01A-11R-A115-07","TCGA-A8-A083-01A-21R-A00Z-07","TCGA-BH-A0E0-11A-13R-A089-07","TCGA-AR-A0TS-01A-11R-A115-07","TCGA-A2-A0EM-01A-11R-A034-07","TCGA-BH-A18M-11A-33R-A12D-07"
"TRIM25","0.1445","0.383333333333333","-0.00716666666666669","-0.225666666666667","0.701","-0.474833333333333","0.0883333333333333","-0.702","-0.122666666666667","-0.402833333333333","0.150166666666667","0.291166666666667","0.224333333333333","-0.211666666666667","0.218333333333333","0.403833333333333","-0.7185","-0.119166666666667","-0.0356666666666667","-0.836833333333333","0.3895","-0.176833333333333","0.187","0.305833333333333","-0.0646666666666667","-0.397333333333333","0.618166666666667","-0.915","-0.6395","-1.07433333333333","-0.399","-0.218333333333333","-0.247666666666667","-0.589333333333333","-0.298833333333333","0.599166666666667","-0.603","-0.664666666666667","-0.155","-0.578166666666667"
"HDAC6","-0.44675","-0.652","-0.622875","-1.618625","-0.431125","-0.204","-0.771875","-0.691","-0.355625","-0.169125","-0.761625","-0.7615","-1.051375","-0.4705","0.08275","-0.890875","-0.9735","-0.84875","-0.678375","-0.81475","-0.00912499999999999","-0.84425","-0.85","-0.809625","-0.25525","-0.80675","-0.317375","-0.5995","-0.320125","-0.358375","-0.982375","-0.600875","-0.214375","-0.263625","-0.0322500000000001","-0.747","-0.754875","-0.541125","-0.656875","-0.596625"
"HMGA1","-1.6894","-0.656","-1.8455","-2.16733333333333","-0.91","-2.383","-1.54466666666667","-1.893","-1.50866666666667","-2.12383333333333","-1.567","-1.4565","-1.8775","-0.900833333333333","-1.43883333333333","-2.29416666666667","-1.23166666666667","-1.721","-2.22616666666667","-2.2045","-0.122666666666667","-1.374","-0.816","-1.736","-1.8645","-1.977","-1.60266666666667","-0.980333333333333","-1.63066666666667","-1.82966666666667","-1.80383333333333","-1.71283333333333","-1.5625","-1.9165","-1.348","-1.9715","-2.5225","-0.902833333333333","-1.68883333333333","-2.96316666666667"
"ZBED3","0.8785","-0.236","-0.73525","-0.519","-0.0575","1.25375","-0.7175","-0.1135","-1.70275","0.48625","0.1815","0.4935","-1.046","-0.01325","-1.29075","-1.76525","-0.33925","0.32825","-0.7055","-0.1955","0.8825","-0.17775","0.0895","-1.13875","-0.05175","0.2545","-0.87475","0.05425","-0.656","0.35","0.4845","-0.06275","-0.0245","1.84475","-1.43275","-0.71375","-0.345","-0.54275","0.1015","0.332"
"GPR137","-0.442333333333333","-0.567333333333333","0.289833333333333","-1.1065","0.510333333333333","0.277833333333333","0.0445","-0.296833333333333","-0.00216666666666667","0.211333333333333","0.237666666666667","0.0565","0.876333333333333","-0.344333333333333","0.043","0.834166666666667","0.591666666666667","-0.0198333333333333","-0.866666666666667","-1.00016666666667","-0.0875","-0.0341666666666667","0.4525","-0.5875","-0.297833333333333","-0.135166666666667","0.186","-0.549666666666667","0.533833333333333","-0.250666666666667","0.0396666666666667","-0.0758333333333333","1.1505","-0.0335","0.0863333333333333","0.468333333333333","-0.4955","-0.155333333333333","0.175666666666667","-0.544666666666667"
"ZFHX2","1.5265","0.45","-0.23975","0.1605","1.045","0.635","1.96525","1.71675","0.5865","0.64075","0.58125","1.707","1.58925","1.57025","0.10525","1.451","1.9345","1.47225","1.13375","1.82475","0.71825","0.834","1.17175","0.9565","0.5205","0.4755","0.6765","0.42925","1.19125","-0.23425","1.67525","1.098","0.29775","-0.424","-0.154","0.8395","0.76025","0.2465","1.269","0.4005"
"LOC158830","-2.54066666666667","-1.94","-2.48016666666667","-2.0965","-1.33833333333333","-2.87333333333333","-0.966833333333333","-0.8565","-2.49833333333333","-3.1125","-2.26683333333333","1.01133333333333","-2.5315","-0.656833333333333","-1.45916666666667","-2.79466666666667","-2.09933333333333","-2.26883333333333","-1.91683333333333","-1.783","-3.08416666666667","-2.15216666666667","-1.27733333333333","-2.50183333333333","-2.915","0.318166666666667","0.758","-2.428","-3.48283333333333","-1.99166666666667","-2.56366666666667","-2.3235","-0.888833333333333","-2.73666666666667","-2.42633333333333","-3.33783333333333","-3.34366666666667","0.460333333333333","-3.44","-2.47333333333333"
"MAGEA12","-4.49475","-3.589","-0.341","-3.71525","-4.0265","-4.026","-2.992","-3.709","-4.064","-4.0895","-4.3355","-4.21975","-4.36675","-3.2305","-3.81875","-4.73175","-4.1845","-3.9685","-3.02125","-3.47275","-4.71675","-4.3195","-3.77525","-4.24725","-3.96475","-4.5655","-2.49025","-3.03775","-4.09275","-4.633","-4.124","-3.73775","-4.17025","-3.90125","-1.6375","-4.3825","-4.73425","-4.07525","-4.32075","-4.861"
"MTA2","-0.3065","-0.003","1.006","1.76525","0.04975","0.2405","0.199","0.3035","0.0945","0.90875","0.13275","0.037","0.41675","-0.011","1.56125","0.22275","0.0705","-0.99675","-0.87525","0.0175","0.8015","0.27225","0.568","-1.33575","-0.09725","0.3835","0.77425","-0.51425","-0.012","-0.7155","0.45475","0.7305","-0.46975","-0.09625","0.15725","-0.33025","0.31825","0.202","0.34125","-0.23925"
"MGC16824","0.648625","-0.546625","-0.753125","-0.6835","-0.64725","-0.64075","0.07275","-0.23125","-0.00287500000000002","0.197875","-0.4845","-0.64525","-0.17425","0.161125","-0.807375","-0.395125","-0.482","-0.12925","-0.299375","0.48325","-0.2695","-0.339625","-0.789","-0.181625","0.34225","-0.15575","-0.341375","-0.556375","-0.122875","-0.2645","-0.502","-0.145","0.05975","-0.646","-0.593875","0.425125","-0.4225","0.180625","0.17025","-0.316375"
