"","TCGA-B6-A0RL-01A-11R-A084-07","TCGA-A2-A0T0-01A-22R-A084-07","TCGA-BH-A18U-01A-21R-A12D-07","TCGA-E2-A15M-11A-22R-A12D-07","TCGA-BH-A0DG-01A-21R-A12P-07","TCGA-E2-A1BC-11A-32R-A12P-07","TCGA-C8-A138-01A-11R-A115-07","TCGA-BH-A0DT-01A-21R-A12D-07","TCGA-A2-A0D4-01A-11R-A00Z-07","TCGA-BH-A0HW-01A-11R-A034-07","TCGA-A2-A0T7-01A-21R-A084-07","TCGA-AR-A1AV-01A-21R-A12P-07","TCGA-BH-A0H9-01A-11R-A056-07","TCGA-BH-A0BL-01A-11R-A115-07","TCGA-AO-A0J2-01A-11R-A034-07","TCGA-A2-A0CT-01A-31R-A056-07","TCGA-BH-A1EV-01A-11R-A137-07","TCGA-BH-A18P-01A-11R-A12D-07","TCGA-BH-A0DD-01A-31R-A12P-07","TCGA-A2-A04N-01A-11R-A115-07","TCGA-B6-A0RE-01A-11R-A056-07","TCGA-B6-A0WY-01A-11R-A109-07","TCGA-AR-A1AT-01A-11R-A12P-07","TCGA-C8-A12L-01A-11R-A115-07","TCGA-A8-A086-01A-11R-A00Z-07","TCGA-A2-A0YK-01A-22R-A109-07","TCGA-A2-A0CL-01A-11R-A115-07","TCGA-BH-A0H5-11A-62R-A115-07","TCGA-A2-A04R-01A-41R-A109-07","TCGA-BH-A0DV-11A-22R-A12P-07","TCGA-BH-A0HP-01A-12R-A084-07","TCGA-A2-A0SU-01A-11R-A084-07","TCGA-B6-A0WS-01A-11R-A115-07","TCGA-BH-A0B5-11A-23R-A12P-07","TCGA-C8-A12Q-01A-11R-A115-07","TCGA-A8-A083-01A-21R-A00Z-07","TCGA-BH-A0E0-11A-13R-A089-07","TCGA-AR-A0TS-01A-11R-A115-07","TCGA-A2-A0EM-01A-11R-A034-07","TCGA-BH-A18M-11A-33R-A12D-07"
"MYEF2","-1.51325","-3.00675","-2.24475","-2.61914285714286","-2.669125","-3.328125","-4.631625","-2.533125","-2.176","-1.30375","-2.63725","-3.292125","-2.47225","-2.444375","-2.96275","-2.49725","-2.49325","-2.038375","-1.621875","-2.177375","-2.983625","-2.91425","-2.11475","-2.418875","-2.93625","-3.292125","-4.48825","-3.089","-2.6255","-2.833875","-3.316125","-2.771625","-2.688","-3.378","-3.08575","-2.548125","-2.456625","-3.244875","-2.87975","-3.094375"
"APOM","-3.742","-3.7565","-3.277625","-3.914","-3.11675","-3.24","-3.141625","-2.78","-4.01575","-3.897625","-3.7935","-3.276125","-3.7995","-3.258125","-3.688125","-4.535125","-3.446375","-3.274","-4.045625","-2.747375","-4.514","-3.131875","-3.765375","-4.12375","-3.749875","-3.112625","-3.21825","-2.5055","-2.831375","-3.049625","-2.94125","-2.7445","-3.557875","-2.526125","-3.749","-3.6145","-3.4445","-3.617625","-2.899625","-3.77375"
"DENND1C","-1.1955","1.1625","-0.36625","-0.61475","0.55375","-1.661","0.6865","0.4715","-1.8125","-1.2605","-0.3265","2.7685","-1.1675","0.872","0.4215","-1.667","-0.9635","-0.654","-0.7175","-0.053","-0.567","-0.173","0.8085","-0.891","-0.8045","1.688","1.84375","-0.23525","-1.899","-0.00875","-0.21325","-0.20425","1.03225","-1.521","-0.09375","-2.02175","-1.34375","2.3275","-0.83075","-0.519"
"COL1A1","1.2905","5.39","4.4205","3.96","6.275","3.08","5.99","4.9215","3.076","3.3415","6.169","3.5555","4.0915","5.248","4.5655","4.171","5.0595","4.6355","3.6905","5.526","4.243","5.1025","4.201","4.141","5.5925","4.7745","4.013","3.123","5.426","-0.5795","5.236","4.988","5.8135","1.7555","5.133","3.0835","2.084","4.552","4.98","4.207"
"WDR77","-0.0315","0.09875","-0.90025","-1.21275","-1.76","-0.7465","-0.62275","-1.3175","0.06225","-1.08125","-0.647","-1.08675","-0.71125","-1.37075","0.04675","-0.4675","-1.62425","-1.2325","-1.263","-0.876","-0.6","-0.94125","-0.6835","-0.8025","-0.8955","-0.984","-0.5945","-1.34575","-1.21575","-1.327","-1.09","-0.8705","-0.91025","-1.0565","-1.08175","-1.747","-1.38675","-0.83975","-0.9815","-1.342"
"MEIS3","0.9495","-0.92425","-0.14375","-0.7215","-0.22125","-0.621","0.96675","-0.22775","-0.88525","-0.157","1.2325","0.37675","0.024","-0.72225","-1.489","0.29775","0.2795","0.506","-0.26675","-1.259","-0.57725","-0.351","-0.04675","-0.38925","0.38425","-0.62125","-0.309","0.04975","-0.4815","-0.56675","0.06175","0.27825","1.37025","-0.78425","-0.7065","0.875","-0.178","-0.253","0.1365","0.18525"
"WDR18","-0.92175","0.131","-0.07825","-1.152","-0.17625","-0.68025","-0.2785","-0.4955","-0.38275","-0.542","-1.34475","-0.7595","-0.3125","-0.67175","-0.24425","-0.06775","-0.54825","-0.44525","-0.76925","-1.5225","-0.076","0.0315","-0.22325","-1.11125","0.1655","-0.4145","-0.409","-1.19775","-0.084","-0.14025","-0.26625","-0.3395","-0.05925","-0.3655","-1.3135","-0.0245","-0.898","0.02975","-0.399","-0.96575"
"CLIC6","-1.8121","1.0982","0.7377","5.0353","1.9489","1.1638","4.52","6.1651","-1.1512","-1.7402","4.5692","1.7833","1.4802","1.5652","0.0197","1.8628","3.872","-0.2089","5.5172","5.5067","3.1895","5.2234","3.5482","-0.2741","5.7106","1.2024","0.3347","2.3544","-1.1045","1.0279","0.5834","3.6677","6.0291","3.6871","0.2727","4.126","2.2652","0.0991","2.972","1.4212"
"SCRG1","0.082","3.995","-0.204","3.93425","0.98625","0.46125","-0.088","1.2505","-0.2105","-0.55025","1.749","-0.00175","0.5685","2.67675","-0.1955","-0.224","2.60325","-0.982","1.709","1.14475","0.73825","5.5115","0.56075","0.43125","-0.45775","1.73475","-0.937","2.9205","0.3855","3.25475","1.5595","0.98125","0.841","0.837","1.05625","-2.07","4.4405","5.07975","0.06125","1.86925"
"ALDH1A1","-4.13333333333333","-2.31533333333333","-0.285","3.09083333333333","-0.225","2.86683333333333","0.0913333333333333","-0.309","-1.9065","-2.84783333333333","-0.029","1.0075","-1.123","-0.331333333333333","-1.70583333333333","-0.594","-0.961166666666667","-1.37966666666667","-1.5395","0.69","-2.50783333333333","-1.24633333333333","0.453333333333333","-0.999","-0.8985","0.683166666666667","-0.614166666666667","0.891333333333333","-2.19933333333333","-0.644833333333333","0.518166666666667","-0.8","-0.163666666666667","1.7005","-0.2645","-2.1625","1.17733333333333","-0.572833333333333","-1.09633333333333","2.92683333333333"
"MYO1H","0.566166666666667","1.3075","-0.205166666666667","-0.236833333333333","0.4905","1.3366","0.394333333333333","0.437833333333333","0.125","0.1834","1.245","1.32683333333333","0.823666666666667","0.716333333333333","0.1815","0.2735","0.954833333333333","0.3615","-0.0631666666666667","0.0791666666666666","0.215833333333333","0.469333333333333","0.0498333333333333","0.8285","0.1775","1.06416666666667","0.2735","1.35233333333333","0.113666666666667","2.25616666666667","0.403","0.325833333333333","0.418166666666667","0.0823333333333334","0.770333333333333","-0.0521666666666667","1.08266666666667","1.36333333333333","0.550666666666667","0.747166666666667"
"KNDC1","0.448166666666667","-0.486","-0.624833333333333","-0.905166666666667","-1.28433333333333","-0.8006","0.161333333333333","-1.15583333333333","-0.203833333333333","-0.97","1.85483333333333","-0.8306","-0.815","-0.922333333333333","-0.485166666666667","-0.516","2.95783333333333","-0.872833333333333","-0.556333333333333","-0.8965","-0.376666666666667","-1.17816666666667","1.49733333333333","-0.3274","-0.418666666666667","-0.393666666666667","-1.137","-0.833833333333333","-0.9885","-0.169","-0.353833333333333","0.372833333333333","-0.427833333333333","-0.6236","0.914166666666667","-1.19166666666667","-0.730166666666667","-0.2075","-0.985666666666667","-0.331333333333333"
"PTCHD2","-0.0735","-0.1835","0.56","0.0365","-0.458","-0.438","0.044","-0.8485","0.0475","-0.005","-0.6465","-0.455","0.292","-0.16","-0.0355","0.162","-0.56","0.1525","-0.6455","-0.089","0.0455","-0.6525","0.1665","0.6805","-0.103","0.0535","-0.406","-0.567","-0.711","-0.082","-0.4175","-0.4175","0.0765","-0.8315","-0.318","-0.3865","-0.972","-0.0215","-0.9025","0.2275"
"EIF3B","-0.193357142857143","0.378071428571429","-0.717571428571429","0.403642857142857","-0.294785714285714","-0.202785714285714","-0.275857142857143","-0.0809285714285714","-0.23","0.00100000000000001","-0.699857142857143","-0.489857142857143","-0.310214285714286","-0.379214285714286","-0.0945","-0.188714285714286","-0.254357142857143","-0.258928571428571","-0.256214285714286","-0.797357142857143","0.976857142857143","-0.505071428571429","0.0927857142857143","0.0177142857142857","-0.112214285714286","-0.570785714285714","-0.901357142857143","-0.9175","-0.0213571428571429","-0.142428571428571","-0.445142857142857","-0.485","-0.534071428571429","-0.138714285714286","0.208142857142857","-0.675928571428571","-0.613571428571429","-0.241214285714286","-0.436642857142857","-0.628214285714286"
"HNMT","-1.3765","0.106166666666667","0.267666666666667","2.03266666666667","1.93333333333333","2.7415","0.285833333333333","1.571","-0.295166666666667","0.374833333333333","0.283166666666667","0.839","-0.100666666666667","0.6565","0.146","0.0395","0.2455","1.36916666666667","1.45066666666667","1.60033333333333","-0.995833333333333","0.794","1.15016666666667","1.09216666666667","0.221833333333333","0.399","0.652666666666667","1.37533333333333","0.694333333333333","1.33066666666667","0.942666666666667","0.984166666666667","0.7955","2.54633333333333","0.490666666666667","1.26533333333333","2.002","-0.120833333333333","0.732333333333333","2.16633333333333"
"ALDOAP2","-0.1175","-0.432","0.802","-2.1505","-1.132","-0.343","0.436","-0.956","-0.4045","-0.56","-0.8165","-1.338","0.5485","-0.986","-0.381","-0.5525","0.734","-0.4615","-1.99","-1.64","-1.383","-0.5375","-0.243","-1.0515","0.8895","-0.463","-1.504","-1.3235","-0.457","-0.913","-0.427","-0.543","-0.718","-0.323","-0.509","0.067","-1.979","-1.0535","-0.94","-1.2085"
"ALDH16A1","-0.302","-0.03375","-0.323875","-1.10625","0.7105","0.390875","0.912875","-0.03475","-0.011125","-0.1215","-0.634375","0.763625","0.305375","-0.02425","-0.437875","-1.01025","0.236875","0.383875","-0.568125","-1.114125","-0.282375","0.36525","-0.06725","-0.231","-0.72925","0.093","0.088375","-0.686875","0.397625","-0.7765","-0.074375","0.075","0.548625","0.28675","-0.09475","0.242625","-0.03925","0.612875","0.226375","-0.69475"
"AATK","1.4202","0.0076","0.1726","-0.6346","-0.2695","-0.4423","-0.2374","-0.1347","-0.661666666666667","1.1584","-0.2077","-0.4515","0.3016","-0.2749","-0.4968","0.726","-0.2763","-0.1129","-0.4152","-0.8064","0.3267","-0.2593","0.606","-0.304","-0.1509","-1.0562","0.7224","-0.3451","0.2372","0.7617","-0.2494","0.4555","-0.4117","-0.3131","-0.5685","-0.3752","-1.0052","-0.4401","0.4417","-0.13"
"KCTD14","-1.75783333333333","-1.52916666666667","-1.61666666666667","1.14866666666667","-0.787333333333333","-1.4875","-1.453","0.417666666666667","-1.4865","0.526","0.281166666666667","-0.926333333333333","-0.649","0.406833333333333","-0.979166666666667","-0.585","-1.83833333333333","-1.13316666666667","1.1595","0.1475","-1.4415","2.15083333333333","-1.585","-1.988","1.41","1.17316666666667","-0.632166666666667","1.68466666666667","-0.839833333333333","2.7385","-0.0745","0.391","-1.0965","-0.88","-1.15716666666667","0.767333333333333","1.46416666666667","1.06683333333333","0.796833333333333","0.5535"
"KIR2DL1","0.4","0.5755","-0.28","-0.618","0.599","0.452","0.677","0.893","0.5385","0.563","0.3195","1.3635","0.474","0.705","1.239","0.637","0.656","0.6935","0.7005","0.0155","0.417","0.161","0.7395","0.7455","0.407","0.6625","1.1685","0.9555","0.6095","-0.2515","0.6955","-0.0015","0.5485","1.1285","0.6225","-0.0695","0.175","0.7475","0.2025","-0.118"
"PDE4C","-0.5005","-0.717","-0.802333333333333","-0.729","-0.743","-0.405166666666667","-0.3405","-0.959833333333333","-0.379333333333333","-0.780666666666667","-0.8525","-0.7415","-0.838","-0.568333333333333","-0.558","-0.743166666666667","-1.19716666666667","-0.763666666666667","-0.4385","-0.653666666666667","-0.700166666666667","-0.721833333333333","-0.764","-0.3875","-0.541333333333333","-0.585","-0.760333333333333","0.317666666666667","-0.4835","-0.383333333333333","-0.744833333333333","-0.778666666666667","-0.889333333333333","-0.2945","-0.895333333333333","-0.796333333333333","-0.6695","-0.607333333333333","-0.714333333333333","-0.262333333333333"
"LOC400657","0.9515","-0.4815","-0.2605","0.3415","-0.3445","0.1835","-0.963","1.0265","0.4155","0.951","-0.128","0.6925","-0.402","0.6185","-0.7495","0.821","0.1","0.5475","0.8145","1.0485","-0.78","-0.736","-0.006","-0.1475","0.3755","-0.2335","0.197","0.4855","0.0055","0.525","0.681","0.3105","0.753","0.053","-0.3305","0.065","0.289","-0.194","-2.5865","0.5995"
"ZNF766","0.0655","0.935","0.0655","-1.086","0.578","0.085","0.3005","0.675","1.2905","-0.373","0.4955","0.618","1.205","1.199","-0.14","1.2365","0.0275","1.672","1.1815","1.4975","-0.206","-5e-04","-0.6005","1.262","0.2865","0.535","1.297","0.9875","0.7265","1.4695","0.6685","0.566","-0.045","0.0125","1.647","1.0545","0.997","0.7005","0.0145","0.3985"
"MLANA","-4.84525","-4.48725","-5.313","-3.547","-4.9535","-4.72175","-4.367","-4.02275","-3.99675","-4.32475","-4.8385","-5.3305","-4.9685","-4.267","-4.54675","-4.8885","-5.127","-4.4345","-4.82725","-3.9305","-5.245","-4.7445","-4.01025","-4.863","-4.265","-4.7585","-4.57425","-3.835","-4.11075","-4.649","-4.719","-4.166","-5.10675","-4.31925","-4.60525","-4.959","-4.8605","-4.735","-4.3635","-5.67175"
"HOMER3","-1.1625","0.749","-1.21816666666667","-1.45833333333333","0.139166666666667","-0.979833333333333","-0.485833333333333","-0.164833333333333","-1.21416666666667","-0.88","-0.2335","0.0946666666666667","0.509833333333333","0.544333333333333","0.251","-1.28016666666667","-0.743666666666667","-0.107333333333333","-1.121","-1.7875","1.23483333333333","-0.119666666666667","0.678166666666667","1.29983333333333","-0.0933333333333333","-1.25483333333333","-0.365","-1.03533333333333","0.0903333333333333","-0.723333333333333","-0.213","-0.989","0.565166666666667","-1.21666666666667","1.78966666666667","-1.325","-1.36416666666667","0.466","0.0566666666666667","-0.661666666666667"
"C17orf61","-0.30275","-0.67525","0.69775","-0.98725","0.137","0.93975","0.19675","0.34225","-0.601","0.073","-0.72775","0.1525","0.0235","-0.307","-0.765","0.5385","-0.0115","-0.6275","-0.9275","0.3155","-1.03125","0.17825","-0.536","-0.75975","0.461","-0.64175","-0.2135","-0.6925","0.22225","-0.0605","-0.70575","-1.299","-0.5095","1.4915","-0.7595","-0.33075","0.575","0.36025","-0.12275","-0.118"
"CAPRIN2","-0.11075","-1.520125","-0.18275","-0.82725","-0.9535","-0.486375","-0.783125","-0.996375","-0.4165","-0.3525","-0.257125","-0.7095","-1.47775","-0.95875","-1.123","-1.427375","-0.10575","-1.369","-0.252","-0.546","-1.1185","-1.13225","-0.95925","-0.56775","-0.819375","-0.764875","0.039625","-0.66925","-0.32875","-0.626875","-0.69875","-1.465375","-0.935125","-0.551125","-1.204","-0.523375","-1.1835","-0.990625","-1.6215","-0.457"
"UTP3","-0.45275","0.16075","-0.26025","0.677","0.2355","-0.1205","-1.19025","0.10075","0.07775","1.10475","0.13925","0.000250000000000007","-0.269","-0.50975","0.28375","0.74825","-0.34625","0.25425","0.48225","0.32","-0.54025","-0.3155","0.25975","0.22925","-0.0115","0.03825","0.5845","0.2155","-1.01425","-0.2655","-0.249","-0.134","0.3595","-0.53825","-0.24775","-0.07575","0.25075","0.4155","0.49025","0.3375"
"EPB42","-0.606","-0.691","-0.548166666666667","1.23","-0.0293333333333333","3.89566666666667","-0.529","-0.3745","-0.429333333333333","-0.860833333333333","-0.797166666666667","-0.8285","0.0511666666666667","0.695166666666667","-0.534833333333333","-0.813166666666667","-1.04316666666667","-0.552833333333333","-0.576333333333333","-0.5625","-0.941166666666667","-1.088","0.03","-0.8005","-0.516333333333333","-0.303333333333333","-0.456","0.951666666666667","-0.843","-1.332","-0.3415","-0.324833333333333","-0.408333333333333","2.97733333333333","-0.0725","-0.7375","0.0671666666666667","0.00733333333333334","-1.24683333333333","0.8165"
"PGC","-3.117875","-2.65525","-3.00825","-2.70825","-2.497625","-2.84875","-2.5205","-2.534","-2.599","-2.56125","-3.0835","-2.8515","-2.880875","-2.38675","-1.964875","-2.43175","-2.256625","-2.779","-2.76325","-2.2795","-3.262625","-2.467375","-2.03","-2.528625","-2.358875","-2.9245","-2.530875","-2.18675","-2.524125","-2.857125","-2.23725","-2.65325","-2.892375","-2.46675","-2.6695","-1.627375","-2.79775","-2.62475","-2.141375","-3.242"
"C14orf94","-0.466","-0.8625","-0.579333333333333","-0.557166666666667","0.0186666666666667","-0.508833333333333","-0.780666666666667","-0.184333333333333","-0.0381666666666667","-0.166833333333333","-0.145333333333333","-0.367","-1.36433333333333","-0.546333333333333","-0.764","0.142833333333333","0.133833333333333","-0.304666666666667","0.219833333333333","-0.993333333333333","-1.2845","-0.579166666666667","-0.509166666666667","-0.9265","-0.210833333333333","-0.2","-0.4305","-0.242166666666667","-0.600166666666667","0.3235","0.187833333333333","-0.382666666666667","-0.954166666666667","0.0953333333333333","-0.761","0.0156666666666667","0.0441666666666667","-0.417","-0.569166666666667","-0.415166666666667"
"HIST1H4G","0.04825","0.11975","0.487333333333333","0.10825","1.6895","-0.13925","0.25475","0.33","0.4085","0.6175","0.184","-0.256","-0.56625","-0.253","0.5995","0.55625","-0.085","0.34125","0.45675","0.15575","-0.36675","0.73475","-0.11725","-0.6995","0.4725","-0.01075","0.3345","-0.49375","0.1","0.55975","-0.2525","-0.046","0.77575","-0.298","-0.30775","0.08175","1.24975","0.71325","0.491","0.53125"
"CCRN4L","0.8475","1.888375","0.259125","-0.5855","0.325125","0.00550000000000002","-0.29475","0.95325","0.2965","1.915875","-0.7655","-0.51","-0.0995","0.466625","0.192","0.272125","-0.489625","0.051625","0.073125","-0.823125","1.104875","0.02425","1.031875","-0.315125","-0.05775","-0.45975","0.3815","-0.89975","1.112625","-0.649625","-0.27025","0.385375","1.062875","-0.968125","0.177625","0.954375","-0.403375","-0.31525","-0.257875","-0.492875"
"COCH","-4.68016666666667","-0.847833333333333","-4.73733333333333","-3.39183333333333","-3.651","-2.70766666666667","-3.31916666666667","-4.6575","-4.882","-1.72316666666667","-3.96483333333333","-3.01533333333333","-4.70066666666667","0.301","-3.503","-3.4745","-4.7725","-5.13716666666667","-1.05916666666667","-3.06283333333333","-5.63","-3.477","-4.37966666666667","0.696833333333333","0.0748333333333333","-3.46633333333333","-2.66066666666667","-4.01233333333333","-2.00983333333333","-5.0965","-5.168","-4.21283333333333","-5.04516666666667","-3.367","-4.1305","-5.3565","-3.84016666666667","-1.08883333333333","-4.247","-4.283"
"LOC153222","1.9","0.412","0.2805","1.60825","1.38775","1.779","1.57775","1.75225","1.89975","1.08125","1.359","1.521","1.49225","1.18775","-0.358","2.4755","-0.44275","2.6685","1.508","1.43225","0.3695","1.599","0.37825","0.8385","2.026","1.6065","2.08775","2.8865","2.281","1.90025","1.975","1.5895","1.77","1.89725","1.4895","3.01025","3.39975","0.987","1.206","2.58325"
"C20orf74","-0.4955","-0.5755","-1.376","-0.1815","-0.086","0.045","1.38175","-0.426","1.168","-0.697","-0.55975","-0.951","0.26725","0.97525","0.54375","0.12925","-0.294","0.5725","-0.75075","0.1775","-0.04125","-0.19475","-0.9825","0.5885","0.60475","0.96525","1.05475","0.69675","-0.7405","-0.32075","-0.29375","-0.5515","0.23175","0.67275","1.72375","2.01925","1.312","-1.004","1.2365","0.40225"
"AMT","-1.1346","-2.2045","-1.4399","-1.656","-1.7751","-0.4706","-1.181","-1.8587","-1.9063","-0.9378","-1.6227","-1.0088","-0.6021","-1.7067","-2.2379","-3.1413","-2.0029","-2.4499","-1.4487","-0.5622","-1.8375","-0.5503","-1.9261","-2.6336","-1.7078","-1.1302","-1.962","0.3177","-1.828","0.7158","-1.7812","-2.2024","-2.3098","-1.1318","-2.4408","-1.1861","-1.5944","-0.8455","-2.5285","-0.2267"
"FLJ39822","-2.403","-1.14416666666667","-0.877166666666667","-0.9408","-1.362","-1.1335","-0.804","0.497166666666667","-0.693","-1.2105","0.346666666666667","-0.8105","-0.836833333333333","-1.187","-1.3158","0.285833333333333","-1.04166666666667","-0.433833333333333","-0.310333333333333","1.162","-1.5635","-0.709666666666667","-1.21183333333333","-0.129","-0.995","0.885166666666667","-0.441666666666667","-0.829833333333333","-0.799166666666667","-1.237","0.464833333333333","-0.920166666666667","0.1225","-0.435166666666667","-0.155333333333333","0.432833333333333","-1.07716666666667","-0.257833333333333","0.9285","-0.1015"
"PTBP2","-0.651","-1.7765","-1.1555","0.37225","-0.26975","0.145625","-0.618375","0.1375","-0.941875","0.037625","-0.895875","-0.247","-1.04575","-0.60275","-0.72075","-1.475","-0.93025","-0.566","-0.600375","-0.287875","-1.829","-0.69875","-0.486","-0.218125","-1.0485","-0.576875","-1.207375","0.128375","-1.001375","0.63475","-0.4305","-1.121375","-0.409875","0.4825","0.00150000000000001","-0.55725","-0.444","0.347125","-0.906625","-0.39525"
"SMARCA5","0.1285","-0.1555","-0.6695","-0.52675","0.0415","-1.37875","-0.73075","-0.409","-0.29725","-0.47675","-0.57375","-0.06475","-0.366","0.61125","-0.34675","0.05025","-0.25025","0.26075","0.48425","0.2455","-0.4635","-0.7085","0.02175","0.4995","-0.49425","-0.74775","0.01575","-0.51325","-0.52425","-1.44575","-0.875","-0.754","-0.075","-1.13575","0.1905","0.09075","-0.01625","-0.70925","-1.4445","-0.96625"
"EHHADH","0.00350000000000001","-1.07466666666667","-0.402166666666667","0.729166666666667","-1.545","2.15","-1.78516666666667","0.316166666666667","-1.4925","0.2245","0.437166666666667","0.394333333333333","-0.526","0.0403333333333333","-0.630166666666667","-0.484833333333333","1.178","-0.397833333333333","0.0353333333333333","0.115166666666667","-1.63833333333333","-0.509","0.0675","0.847666666666667","-1.13516666666667","-0.162166666666667","-0.121166666666667","-0.327166666666667","-1.39933333333333","-0.011","0.634666666666667","-0.164833333333333","-0.173833333333333","1.29433333333333","1.2065","-0.691333333333333","0.6625","1.17033333333333","-0.771","0.395166666666667"
"MGC39715","0.30725","-0.045","0.83475","-0.0652499999999999","0.383","0.42675","-0.5445","-0.197","0.635","-0.4015","0.35975","0.14775","-0.643333333333333","0.7335","-0.03275","0.5695","0.06225","-0.843333333333333","0.075","0.0185","-0.5415","0.2015","-1.06","0.997","0.4235","0.3195","1.32575","0.95525","-0.22725","-0.668","0.21925","1.01025","1.10225","0.350666666666667","0.75825","0.183","0.218","0.053","-0.0816666666666667","0.71475"
"NEK11","2.8175","1.46183333333333","2.358","1.645","1.18333333333333","1.33816666666667","3.55083333333333","2.65216666666667","1.80883333333333","0.553166666666667","2.45583333333333","1.99633333333333","2.3895","0.956","1.822","1.68483333333333","3.56116666666667","2.0855","2.32","2.3155","0.851666666666667","1.45183333333333","1.51183333333333","2.10133333333333","1.50066666666667","2.416","1.88783333333333","1.9355","1.591","1.69933333333333","3.06233333333333","2.97033333333333","2.166","0.487166666666667","2.22683333333333","2.4555","1.96333333333333","0.752666666666667","2.48","1.20333333333333"
"HHLA3","-0.307","-0.0253","-0.8043","-0.9375","-0.7353","-0.0155","-0.6236","-0.394","-0.7948","-0.4593","-0.2355","0.2699","-0.5614","-0.4468","0.3068","-0.123","0.15","-0.6669","-0.4324","0.0936","0.0329","-0.1628","-0.1476","-0.2885","0.0447","-0.2195","-0.6891","0.0336","0.474","0.0988","-0.1637","0.2063","0.0374","-0.4203","-0.0387","-0.6064","-0.5247","1.3445","-0.5819","-0.2777"
"FLYWCH2","1.198625","0.6465","1.425125","0.2055","0.442625","0.66825","1.2075","0.260875","0.935","1.224","0.678125","0.109125","1.130875","-0.2845","0.706125","0.910375","1.694","-0.108875","-0.791625","0.449125","-0.529625","0.39825","0.141625","-0.3285","0.962","0.2055","0.0775","-0.43275","1.2385","-0.206875","0.98975","1.3235","0.586625","-0.074875","0.728125","0.9285","-0.013625","-0.096625","0.726875","-0.323625"
"DMGDH","0.401","-1.038","0.58","2.2145","0.85925","5.103","-0.89375","0.05175","-0.23375","1.4395","0.158","0.3125","0.1285","1.061","-0.646","1.2925","1.462","-0.07775","2.19325","1.4035","-1.56925","-0.364","0.228","-1.42975","-0.54825","1.04425","0.38475","1.25025","-1.26775","-0.013","0.88525","0.036","0.397","3.43425","-0.27175","-1.4195","1.30075","0.27525","-0.4025","2.24125"
"STAR","-4.395","-5.33075","-5.08325","-4.0885","-4.116","-4.2675","-1.507","-3.11875","-5.06325","-4.44125","-4.09225","-2.5305","-4.68425","-3.355","-4.54475","-5.43225","-4.67375","-4.95175","-5.13725","-2.39475","-2.20575","-3.44875","-3.433","-4.957","-4.3925","-3.4735","-3.83325","-2.17025","-5.22375","-3.62625","-5.165","-4.21925","-3.6565","-2.833","-4.52725","-3.83025","-2.74225","-3.934","-4.147","-4.46025"
"TATDN2","1.01816666666667","0.519","0.0376666666666667","-0.164833333333333","-0.137833333333333","-0.183","0.2385","-0.0931666666666667","-0.3935","0.0783333333333333","0.0271666666666667","0.565333333333333","0.240666666666667","0.549833333333333","0.0826666666666667","-0.0298333333333333","-0.507333333333333","-0.0501666666666667","-0.0166666666666667","-0.1765","1.03316666666667","-0.129166666666667","0.056","-0.120666666666667","0.248166666666667","0.404","0.211666666666667","0.0115","0.238833333333333","0.117","-0.153166666666667","0.099","2.49333333333333","-0.522333333333333","0.0495","0.0908333333333333","-0.452166666666667","0.103","0.0543333333333333","0.161666666666667"
"TLX1","-0.373","1.64233333333333","0.879333333333333","-0.334666666666667","-0.315833333333333","-0.628333333333333","0.1655","-0.432166666666667","0.325666666666667","-0.576666666666667","-0.430833333333333","-0.673","-0.00716666666666665","0.190666666666667","1.99383333333333","0.0383333333333333","-0.279833333333333","-0.00333333333333332","-0.049","-0.444833333333333","0.311666666666667","0.0896666666666667","0.251833333333333","-0.153","0.164666666666667","-0.573833333333333","-0.636333333333333","0.0515","-0.238166666666667","0.2375","-0.309333333333333","0.00266666666666667","-0.239","0.320666666666667","-0.449333333333333","-0.374833333333333","-0.220333333333333","0.399333333333333","0.466","-0.0611666666666666"
"NF2","-1.06915","-0.04725","-0.63455","-0.910052631578947","-0.4545","0.12665","-0.64545","-0.55035","-0.5344","-1.0601","-0.3548","-0.7249","-0.6076","-0.37435","0.51455","-0.3296","-0.1209","0.0491","-1.25725","-1.151","0.34375","-0.5938","0.00570000000000001","-0.5147","-0.64685","-0.35575","-0.2735","-0.74745","-0.5563","-0.3826","-0.4536","-1.0345","-0.1997","-0.5265","-0.27445","0.11375","-0.43755","-0.1795","-0.1004","-0.63155"
"WNK2","-0.318625","0.258125","-0.778375","-0.9238","-0.5875","-0.923625","-0.506875","-0.533625","-0.45325","-0.63575","0.413","-0.7965","0.663125","0.71875","0.09075","-0.8465","0.116875","0.596625","-0.611714285714286","-1.238125","0.5615","-0.174125","0.492125","-0.642","-0.058375","0.06775","-0.548","-0.193125","-0.560375","1.208375","-0.46975","-0.629875","0.05525","-0.94475","-0.725375","0.85875","-0.340625","-0.00725","-0.139714285714286","-0.45275"
"KRT28","0.1475","0.6555","0.4915","0.4255","0.2695","0.233","0.271","0.533","0.2915","0.6745","-0.164","-0.167","-0.109","0.1585","0.1605","0.7025","0.1165","0.381","0.781","0.959","0.509","0.3325","0.335","-0.151","0.099","0.894","0.223","0.6455","0.549","0.0905","0.332","0.748","0.203","0.2755","0.402","-0.003","0.579","0.0245","-0.364","0.3065"
